material,train_session,test_session,n_train,n_test,rmse,r2
G80,v24,v25,224,224,1.1415730648977314,0.35719383429672447
G80,v25,v24,224,224,1.1824429444858158,0.3103432424993118
GH120,v30,v31,224,224,1.0509097886729248,0.45524216900633085
GH120,v31,v30,224,224,1.0826517029134664,0.42183721442334154
