session,material,nozzle_mm,pressure_bar,mix_ratio_pct,sensor,rms,zero_crossing_rate,peak_amplitude,crest_factor,kurtosis,spectral_centroid,spectral_bandwidth,spectral_rolloff_85,dominant_frequency,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
v25,G80,6.4,6.5,0,AccAxial4507,0.030326837673783302,0.24655833333333332,1.0,32.97409412602462,3.772026538848877,5670.161517385665,1886.029750146478,7923.666666666667,4826.666666666667,-86.36910247802734,1.6286234855651855,0.2196071296930313,1.443550944328308,-16.54098892211914,1.2231253385543823,9.678503036499023,0.833753764629364,-6.221502304077148,0.615851104259491,2.9353983402252197,0.6793752908706665,-0.20640350878238678,0.6300708651542664,3.862926483154297,0.7004848718643188,-1.06084406375885,0.736009418964386,-0.046586498618125916,0.7280147075653076,-1.1643798351287842,0.6115719079971313,2.2474334239959717,0.5257724523544312,-0.1856205314397812,0.4811694324016571
v25,G80,6.4,6.5,0,AccRadial4507,0.18460187315940857,0.2697638888888889,1.0,5.4170631255538435,-0.012157678604125977,6406.811726643059,1019.4756028556462,7187.266666666666,6723.266666666666,-71.84790802001953,1.7351887226104736,-1.4175611734390259,1.8809337615966797,-17.653608322143555,1.6396209001541138,11.932062149047852,1.0881016254425049,-7.1148681640625,0.7914066910743713,2.338697671890259,0.7334213256835938,0.009182539768517017,0.6587704420089722,2.347752332687378,0.8350306749343872,-4.153076648712158,0.962774395942688,3.0882256031036377,0.926807701587677,-2.2659752368927,0.8459886312484741,0.3052954375743866,0.7141960263252258,0.20640820264816284,0.4937092363834381
v25,G80,6.4,6.5,0,Mic147EB,0.14085792005062103,0.156475,0.66454017162323,4.717804802061608,-0.003756999969482422,2805.2372487752536,2624.932360997277,5491.866666666667,99.93333333333334,-58.18779373168945,0.6946840286254883,6.855858325958252,0.8664201498031616,-6.135606288909912,0.5352295637130737,7.71138334274292,0.5480517148971558,0.9031373858451843,0.5163550972938538,0.2603006660938263,0.5238609313964844,-0.09294258803129196,0.5462726950645447,2.286048173904419,0.5464231967926025,-0.6008522510528564,0.5408922433853149,1.2031681537628174,0.5155729651451111,-0.5791032314300537,0.49683690071105957,0.7468341588973999,0.5007776021957397,-0.7869417071342468,0.45580655336380005
v25,G80,6.4,6.5,0,Mic46BE,0.1865738332271576,0.17985694444444444,1.0,5.359808407765728,-0.008583307266235352,2628.6084525746464,4006.9998736222396,6088.733333333334,99.93333333333334,-51.036354064941406,0.6902113556861877,2.3607430458068848,0.6888795495033264,-0.5784938335418701,0.563452959060669,4.576817989349365,0.5567423105239868,1.3227003812789917,0.5605252385139465,1.3027820587158203,0.5099319815635681,-0.18196290731430054,0.520820677280426,2.1873373985290527,0.5296583771705627,-0.1740097999572754,0.5483273863792419,1.5444762706756592,0.5320837497711182,-0.47234466671943665,0.48945221304893494,0.5810143947601318,0.49776920676231384,-0.9200219511985779,0.4816933572292328
v25,G80,6.4,6.5,100,AccAxial4507,0.037752892822027206,0.2434611111111111,1.0,26.488036419199712,1.8622303009033203,5628.665274478156,1912.098414181092,7922.0,4694.866666666667,-83.56619262695312,1.7728122472763062,1.418357491493225,2.0192601680755615,-16.46929359436035,1.3145543336868286,10.333754539489746,0.9905509948730469,-5.956585884094238,0.6457653641700745,3.4583122730255127,0.7739905714988708,0.029654784128069878,0.877873957157135,4.268102645874023,0.9219150543212891,-0.7266822457313538,1.1256271600723267,0.03372136130928993,0.9344043731689453,-0.9844334125518799,0.7529067397117615,2.312180280685425,0.5366212725639343,0.10998522490262985,0.6801433563232422
v25,G80,6.4,6.5,100,AccRadial4507,0.11877279728651047,0.2671,0.6271867752075195,5.2805590971692284,0.15641498565673828,6361.888127005841,1066.6979536421838,7200.933333333333,6545.0,-76.56908416748047,2.0302822589874268,-0.08744283020496368,2.527188539505005,-17.114835739135742,1.7744892835617065,12.44906234741211,1.051627516746521,-6.55238151550293,0.6099110245704651,2.4617693424224854,0.7521615028381348,0.3352428674697876,0.8588432669639587,2.5752384662628174,0.9970734119415283,-3.44258189201355,1.3527776002883911,3.017089605331421,1.1599546670913696,-1.701819658279419,1.0063045024871826,0.1152430847287178,0.7243302464485168,0.6895391345024109,0.6867861747741699
v25,G80,6.4,6.5,100,Mic147EB,0.15292493999004364,0.15470833333333334,0.8024556636810303,5.247382563846519,0.06029248237609863,2832.303242455918,2600.39223301051,5603.8,99.66666666666667,-56.98222351074219,1.5277681350708008,6.767441272735596,0.7855143547058105,-5.92192268371582,0.8137456178665161,7.055189609527588,0.5816347599029541,0.4164404571056366,0.5849640369415283,-0.15603022277355194,0.5785557627677917,0.22322167456150055,0.5219421982765198,2.5338504314422607,0.5988016724586487,-0.31808120012283325,0.5408522486686707,1.3594835996627808,0.46885114908218384,-1.1065983772277832,0.5468045473098755,-0.017851000651717186,0.5484075546264648,-1.0386812686920166,0.4810968041419983
v25,G80,6.4,6.5,100,Mic46BE,0.17443770170211792,0.1955986111111111,0.8383788466453552,4.806179160036343,0.05110526084899902,3012.9266492516103,4307.908324013635,6862.0,99.66666666666667,-51.48439025878906,1.534473180770874,1.8895823955535889,0.8416410088539124,-0.3669166564941406,0.7596127986907959,4.370289325714111,0.5422561168670654,1.3078478574752808,0.5824162364006042,1.2341388463974,0.5285451412200928,-0.19298385083675385,0.5318382382392883,2.1733713150024414,0.5788943767547607,-0.1260794699192047,0.5163776278495789,1.603424072265625,0.49556583166122437,-0.7498245239257812,0.5255091190338135,0.2408836930990219,0.5147915482521057,-1.0112848281860352,0.4573794901371002
v25,G80,6.4,6.5,30,AccAxial4507,0.06269242614507675,0.25369861111111114,0.4993644058704376,7.965306761535385,0.0908348560333252,5847.4347322964095,1918.40692700536,7999.266666666666,4649.6,-77.6288833618164,1.5333887338638306,0.2899835407733917,1.9671746492385864,-16.892927169799805,1.3401317596435547,10.64009952545166,0.9014133810997009,-6.663922309875488,0.9904152154922485,3.706064462661743,0.6239758729934692,-0.8722465634346008,0.6276882886886597,4.195980548858643,0.6261906623840332,-1.480149507522583,0.7343238592147827,0.2483479380607605,0.6843937039375305,-1.8938987255096436,0.5486251711845398,2.0500690937042236,0.5491202473640442,-0.18915647268295288,0.6879330277442932
v25,G80,6.4,6.5,30,AccRadial4507,0.13037292659282684,0.27023055555555553,0.5919500589370728,4.540436994145393,0.0778203010559082,6422.050344461043,1014.6883150092336,7191.533333333333,6771.066666666667,-75.7431411743164,1.9705365896224976,-0.9403925538063049,1.9742822647094727,-16.889455795288086,1.5604451894760132,12.260797500610352,1.249131202697754,-7.211947441101074,1.134585976600647,2.2196784019470215,0.6131081581115723,-0.1682300716638565,0.626981258392334,2.3839333057403564,0.8369137644767761,-3.8445792198181152,0.9045318961143494,3.0011789798736572,0.80819171667099,-2.1560652256011963,0.7891839742660522,-0.07258787006139755,0.6040319204330444,0.4984532594680786,0.6363138556480408
