model,accuracy,f1,accuracy_std
RandomForest,0.795280612244898,0.7942172644520554,0.04451010642901327
GradientBoosting,0.8016581632653061,0.8006146232620958,0.03396947767257322
SVM (RBF),0.8686224489795918,0.8686691156835261,0.04019208819516603
