feature,importance
mfcc_2_mean,0.28026600263439977
mfcc_1_std,0.06569267618048416
spectral_bandwidth,0.06303188452749191
mfcc_2_std,0.05697387876910461
mfcc_11_mean,0.051747276404628006
mfcc_4_std,0.041865340356997904
mfcc_3_std,0.033508826842792015
mfcc_9_mean,0.033305085758080645
mfcc_9_std,0.027449432534753706
spectral_rolloff_85,0.02724546460733299
