session,material,nozzle_mm,pressure_bar,mix_ratio_pct,sensor,rms,zero_crossing_rate,peak_amplitude,crest_factor,kurtosis,spectral_centroid,spectral_bandwidth,spectral_rolloff_85,dominant_frequency,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
v24,G80,8.0,3.0,0,AccAxial4507,0.00046281106187961996,0.06163333333333333,0.00295494613237679,6.384778532249927,0.7315778732299805,853.6575238936044,1127.8114526461484,1963.3999999999999,11.133333333333333,-133.0435028076172,0.6506074070930481,9.205469131469727,0.766942024230957,-0.13623954355716705,0.6601278185844421,-0.20409917831420898,0.6099340915679932,0.17981627583503723,0.5512558221817017,0.9007577896118164,0.5546926856040955,1.1644644737243652,0.5353637933731079,0.41906169056892395,0.5244554877281189,-1.2725142240524292,0.5249863862991333,-3.4337003231048584,0.4743689298629761,-0.28800877928733826,0.5211837887763977,2.7314202785491943,0.6102189421653748,0.783869743347168,0.6279420256614685
v24,G80,8.0,3.0,0,AccRadial4507,0.000750987499486655,0.06327916666666666,0.003604239784181118,4.799333925857397,0.14071178436279297,1194.622951665011,874.214884286962,1847.2666666666667,248.46666666666667,-130.19313049316406,0.6292563676834106,11.150654792785645,0.7486502528190613,-1.7959598302841187,0.6527239680290222,-1.2831600904464722,0.5743933916091919,0.8995180726051331,0.5124086737632751,0.42447853088378906,0.5047287940979004,1.046879529953003,0.5134693384170532,-0.29673945903778076,0.48933422565460205,-3.633864402770996,0.4813120663166046,-3.866037607192993,0.4874096214771271,-0.5020649433135986,0.5107718706130981,2.0753731727600098,0.5701727867126465,2.0925703048706055,0.6144062280654907
v24,G80,8.0,3.0,0,Mic147EB,0.006614320911467075,0.058055555555555555,0.09324349462985992,14.097213588201642,10.326104164123535,710.1334106165025,1763.6766587785896,708.2,25.0,-108.8258285522461,8.855415344238281,9.824115753173828,4.17066764831543,1.6317176818847656,2.99528169631958,3.8874101638793945,1.5223994255065918,0.9881529211997986,1.458097219467163,2.2271664142608643,1.2322642803192139,0.07117865979671478,1.088187336921692,1.0505017042160034,1.1513524055480957,-0.4657860994338989,1.116400122642517,0.9191032648086548,1.145714282989502,-0.6514522433280945,1.0678852796554565,0.7156130075454712,0.8657054305076599,-0.19254498183727264,0.8780888915061951
v24,G80,8.0,3.0,0,Mic46BE,0.00583564443513751,0.051256944444444445,0.09361424297094345,16.041800354948723,11.468164443969727,766.4721395556825,1450.0950413100934,1078.1333333333332,25.0,-112.58509063720703,8.50022029876709,13.186763763427734,3.731581687927246,-1.9660197496414185,3.8908450603485107,5.353981018066406,1.7443888187408447,1.790490746498108,1.6947885751724243,0.6339263916015625,1.2350271940231323,0.8826777935028076,1.156299114227295,0.7857507467269897,1.204267144203186,-0.5423408150672913,1.1291618347167969,0.38256123661994934,1.176257610321045,-0.47223809361457825,1.087238073348999,0.17231528460979462,0.8821563124656677,-0.041971877217292786,0.8324370384216309
v24,G80,8.0,3.0,100,AccAxial4507,0.09339065849781036,0.19450555555555554,1.0,10.707709058753943,6.626442909240723,4478.985263120321,1961.1656966341002,5651.8,4724.6,-74.97822570800781,7.437102317810059,10.543861389160156,2.029273271560669,-14.35778522491455,3.8385584354400635,11.013724327087402,1.484367847442627,-6.648312568664551,1.5651124715805054,3.2010490894317627,0.6670589447021484,-1.2896355390548706,0.7903291583061218,3.7092628479003906,0.7403496503829956,-0.17845605313777924,0.6733656525611877,-1.7281781435012817,0.5792059302330017,-1.0671169757843018,0.5915386080741882,3.1802964210510254,0.6195357441902161,-0.388980895280838,0.5855680704116821
v24,G80,8.0,3.0,100,AccRadial4507,0.10199738293886185,0.23522083333333332,1.0,9.804173118828048,6.866909027099609,5616.602758663985,1594.9093541368302,7037.8,6846.8,-77.13431549072266,7.569509983062744,9.016196250915527,1.9966834783554077,-15.94207763671875,3.7781732082366943,12.268221855163574,1.550541877746582,-5.705439567565918,1.5973190069198608,1.3710746765136719,0.640882134437561,0.762874960899353,0.7993857264518738,2.8411147594451904,0.7481757998466492,-2.3391971588134766,0.647540807723999,1.3368394374847412,0.8099450469017029,-1.5704600811004639,0.625379741191864,0.5683914422988892,0.5788686871528625,0.44739964604377747,0.5632797479629517
v24,G80,8.0,3.0,100,Mic147EB,0.22337716817855835,0.06427222222222222,0.9211475849151611,4.123732037729273,-0.015480995178222656,549.1148792865441,1600.5458709680622,536.7333333333333,100.2,-58.08784484863281,2.8174774646759033,9.067924499511719,1.3734996318817139,1.9012131690979004,1.7897653579711914,3.874560594558716,0.908202052116394,0.21993060410022736,0.6828370094299316,1.4512778520584106,0.6929425001144409,0.5961878299713135,0.8892703652381897,1.6194558143615723,0.8285413384437561,-1.0053722858428955,0.6141719818115234,2.3857107162475586,0.8828877806663513,-0.22562360763549805,0.6608721017837524,0.3823305070400238,0.7703103423118591,-0.1479702889919281,0.6870853304862976
v24,G80,8.0,3.0,100,Mic46BE,0.1816256046295166,0.08117083333333333,1.0,5.505831636678205,0.08716630935668945,909.4211040051187,1796.2629273129194,1651.6666666666667,100.2,-61.564510345458984,2.629625082015991,12.520373344421387,1.2854152917861938,-2.6376242637634277,1.8084133863449097,6.372030258178711,0.8422132730484009,-0.08158359676599503,0.6600247621536255,-0.1535148173570633,0.6936153769493103,1.122700572013855,0.8989726305007935,1.2919731140136719,0.8334383368492126,-1.2400115728378296,0.610802173614502,1.91314697265625,0.8099002242088318,-0.34755489230155945,0.684070348739624,0.08323618024587631,0.8406907320022583,0.28100186586380005,0.7707460522651672
v24,G80,8.0,3.0,30,AccAxial4507,0.06778453290462494,0.14279027777777778,1.0,14.752628028093559,3.754383087158203,4873.473266222317,1921.8722367677806,7359.733333333334,4688.666666666667,-101.49329376220703,29.841228485107422,7.156953811645508,2.110056161880493,-10.65810775756836,10.125608444213867,5.535104274749756,4.629201412200928,-4.227262496948242,4.630913734436035,2.087373971939087,0.9236459136009216,0.10084468871355057,1.7071619033813477,2.37479305267334,1.2415095567703247,-0.2839289903640747,0.7405428290367126,-2.1170008182525635,0.620697557926178,-0.13571025431156158,0.6739817261695862,2.922783613204956,0.5505099892616272,0.12745700776576996,1.229453206062317
v24,G80,8.0,3.0,30,AccRadial4507,0.12536533176898956,0.16510416666666666,1.0,7.976686902904688,2.8682861328125,5835.272677767793,1394.497980052917,7070.599999999999,6831.599999999999,-97.90815734863281,29.975439071655273,7.503347396850586,3.2168867588043213,-12.355011940002441,10.259175300598145,6.031418323516846,5.905221462249756,-3.812631130218506,4.546586036682129,1.05267333984375,0.6549431085586548,0.7883493304252625,1.105396032333374,1.4823887348175049,1.2464587688446045,-2.9195618629455566,0.6283882260322571,-0.7539485692977905,2.252458333969116,-0.9556475281715393,1.0538111925125122,1.275491714477539,1.004704475402832,1.1194580793380737,1.2751985788345337
