test_session,n_train,n_test,accuracy,f1
v24,1344,224,0.32589285714285715,0.4915824915824916
v25,1344,224,0.35714285714285715,0.5263157894736842
v26,1344,224,0.22767857142857142,0.3709090909090909
v27,1344,224,0.4107142857142857,0.5822784810126583
v28,1344,224,0.0,0.0
v30,1344,224,0.3482142857142857,0.5165562913907285
v31,1344,224,0.3125,0.47619047619047616
