material,train_session,test_session,n_train,n_test,rmse,r2
G80,v24,v25,224,224,24.336739202284274,0.3090103124999999
G80,v25,v24,224,224,24.86616856867407,0.2786192708333335
GH120,v30,v31,224,224,28.786531138711382,0.03322489583333332
GH120,v31,v30,224,224,23.56095627758529,0.35236156249999995
