filename,sensor,file_idx,filter_type,order,band_idx,band_label,low_hz,high_hz,window_idx,window_start_s,filter_time_ms,rms,peak,crest_factor,zcr,band_power,spectral_centroid,rms_time_us,cf_time_us
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,25,45.600000,7.617700,0.000008,0.000044,5.520023,205.000854,0.000000,206.226379,773.499996,1088.899997
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,26,46.600000,7.613900,0.000008,0.000044,5.354140,206.200859,0.000000,206.295153,705.900005,1535.700008
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,27,47.600000,7.622300,0.000008,0.000044,5.342067,206.200859,0.000000,206.589204,743.900004,1560.000004
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,28,48.600000,7.959500,0.000177,0.002550,14.431035,207.100863,0.000000,225.976066,759.100003,2471.600004
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,29,49.600000,7.162300,0.000185,0.002550,13.791213,207.100863,0.000000,224.357709,839.400003,1607.300001
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,30,50.600000,7.701600,0.000195,0.002550,13.066781,206.800862,0.000000,222.185882,766.700003,2021.699998
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,31,51.600000,7.011400,0.000202,0.002550,12.630386,205.800858,0.000000,220.710035,1283.900012,3260.199999
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,32,52.600000,6.918300,0.000208,0.002550,12.257325,205.400856,0.000000,219.502999,813.199993,1545.299994
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,33,53.600000,7.652800,0.000151,0.002899,19.168934,204.400852,0.000000,200.973922,693.700000,1350.200007
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,34,54.600000,6.142200,0.000249,0.007415,29.836694,203.800849,0.000000,198.646839,588.000010,1470.100004
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,35,55.600000,6.544800,0.000363,0.011833,32.580160,203.300847,0.000000,196.640148,1364.399999,1295.099995
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,36,56.600000,6.193400,0.000363,0.011816,32.568500,203.900850,0.000000,197.435900,894.299999,1561.800003
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,37,57.600000,6.911100,0.000550,0.018631,33.890948,203.800849,0.000000,196.008777,939.099991,1416.299987
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,38,58.600000,6.918300,0.000481,0.016278,33.807928,203.200847,0.000000,196.452994,602.500004,1050.600011
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,39,59.600000,6.125700,0.000211,0.005135,24.357540,202.900845,0.000000,198.276818,734.400004,1485.699991
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,40,60.600000,7.110200,0.000378,0.011936,31.565944,202.100842,0.000000,196.367516,653.700001,1266.100007
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,41,61.600000,5.975300,0.000337,0.010390,30.849556,202.800845,0.000000,196.661150,579.600004,1199.699997
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,42,62.600000,5.902500,0.000166,0.001989,12.013991,204.100850,0.000000,199.381396,987.000007,1686.400006
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,43,63.600000,7.478700,0.000178,0.002942,16.507740,203.400848,0.000000,199.205949,593.699995,1327.399994
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,44,64.600000,6.253400,0.000154,0.003239,21.078332,203.900850,0.000000,201.190448,772.900006,1834.100010
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,45,65.600000,6.679500,0.000163,0.003591,22.034820,202.600844,0.000000,198.856128,745.700003,1447.300005
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,46,66.600000,7.478100,0.000202,0.005224,25.846328,200.200834,0.000000,196.581574,844.800001,1463.399996
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,47,67.600000,9.411200,0.000235,0.006629,28.228096,199.500831,0.000000,195.608468,914.899996,1464.499990
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,48,68.600000,8.800700,0.000319,0.009987,31.330467,198.300826,0.000000,195.880758,807.299992,2271.799996
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,49,69.600000,6.911900,0.000328,0.009465,28.892579,196.900820,0.000000,193.412860,743.700002,1182.799999
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,50,70.600000,6.527200,0.000219,0.003989,18.188820,197.800824,0.000000,192.630563,759.699993,1574.299997
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,51,71.600000,8.052100,0.000207,0.003495,16.896980,199.800833,0.000000,192.466805,1087.099998,1987.000011
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,52,72.600000,7.270100,0.000199,0.003327,16.719643,203.300847,0.000000,192.190604,1059.000002,1506.500004
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,53,73.600000,6.414000,0.000298,0.008521,28.620799,206.700861,0.000000,193.251923,1351.900006,1828.799999
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,54,74.600000,6.614600,0.000263,0.008431,32.091159,211.300880,0.000000,195.315867,1059.200004,1559.800003
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,55,75.600000,7.478200,0.000462,0.015905,34.433476,215.000896,0.000000,195.922436,785.600001,1400.399997
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,56,76.600000,6.470700,0.000025,0.000086,3.394790,217.300905,0.000000,216.455645,903.900000,1541.100006
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,57,77.600000,7.570600,0.000025,0.000085,3.352132,217.500906,0.000000,216.446508,888.399998,1671.499995
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,58,78.600000,6.860100,0.000025,0.000085,3.375287,217.500906,0.000000,216.300782,721.500008,1354.100008
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,59,79.600000,7.828900,0.000026,0.000085,3.305272,217.700907,0.000000,216.615432,735.699999,1371.300008
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,60,80.600000,6.804700,0.000026,0.000088,3.384347,217.000904,0.000000,216.537653,778.600006,1621.100004
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,61,81.600000,6.848000,0.000026,0.000088,3.409151,218.100909,0.000000,216.749988,836.900013,1808.999994
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,62,82.600000,7.780300,0.000026,0.000088,3.319184,218.300910,0.000000,216.889284,601.799999,999.700002
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,0,176–225 Hz,176,225,63,83.600000,6.182500,0.000026,0.000103,3.916371,218.500910,0.000000,217.094524,814.000014,1347.600002
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,0,20.600000,7.173600,0.000001,0.000004,3.706193,252.701053,0.000000,7.008604,927.699992,1350.199993
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,1,21.600000,6.798300,0.000020,0.000430,21.342972,253.001054,0.000000,262.945777,719.200005,1221.400002
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,2,22.600000,5.913300,0.000022,0.000430,19.797010,253.301055,0.000000,261.333455,1384.100004,1381.299997
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,3,23.600000,6.406700,0.000022,0.000430,19.355210,252.401052,0.000000,260.804547,1074.699991,2106.699991
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,4,24.600000,7.003300,0.000023,0.000430,18.997093,251.801049,0.000000,260.360075,900.500003,1608.500010
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,5,25.600000,6.812200,0.000023,0.000430,18.453915,247.501031,0.000000,258.871748,548.199998,1488.199996
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,6,26.600000,9.348700,0.000013,0.000102,7.999401,246.501027,0.000000,246.343418,628.499998,1770.599993
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,7,27.600000,6.894200,0.000011,0.000055,5.197225,246.301026,0.000000,244.650589,875.500002,1569.400003
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,8,28.600000,6.741600,0.000010,0.000045,4.377940,247.901033,0.000000,245.230340,696.200004,1554.099988
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,9,29.600000,7.332500,0.000010,0.000045,4.512283,249.301039,0.000000,245.523139,679.899997,1745.699992
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,10,30.600000,7.434900,0.000009,0.000045,4.869798,253.701057,0.000000,250.425727,611.600000,1244.500003
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,11,31.600000,6.809700,0.000083,0.001233,14.869830,252.701053,0.000000,247.168532,600.999992,1264.000006
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,12,32.600000,5.917500,0.000084,0.001233,14.729133,252.501052,0.000000,247.158388,720.500000,1063.100004
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,13,33.600000,6.213700,0.000084,0.001233,14.718367,251.301047,0.000000,247.180244,818.000000,1507.900000
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,14,34.600000,6.943300,0.000084,0.001233,14.690520,250.301043,0.000000,247.170432,613.199998,1103.800008
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,15,35.600000,6.489600,0.000084,0.001233,14.677917,250.601044,0.000000,247.131909,675.200004,1360.199996
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,16,36.600000,6.552900,0.000015,0.000130,8.393764,252.701053,0.000000,247.903855,1487.600006,2112.699993
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,17,37.600000,6.524100,0.000011,0.000103,9.052570,253.601057,0.000000,251.090258,963.600003,1393.099999
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,18,38.600000,7.838600,0.000011,0.000103,9.399300,253.801058,0.000000,251.494719,771.199993,1290.400003
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,19,39.600000,6.450400,0.000010,0.000049,5.014269,253.701057,0.000000,251.887907,624.100008,1425.499999
