test_session,n_train,n_test,rmse,r2
v24,1344,224,1.0832640202185244,0.4211830443159924
v25,1344,224,0.8073751838519685,0.6784685934489403
v26,1344,224,0.7255138265395085,0.7403645472061657
v27,1344,224,1.2865875320702325,0.18350922102945222
v28,1344,224,0.9120478943603471,0.5896939719240297
v30,1344,224,0.9674007885640189,0.5383790806496009
v31,1344,224,0.8289865127930955,0.661025103220479
