model,rmse,r2,r2_std
RandomForest,0.9746155377524881,0.5314679878887971,0.06614116658791404
GradientBoosting,0.9841066796236709,0.5222981021941018,0.05874759603679199
SVM (RBF),0.9112650543392119,0.5903980273400371,0.1044335196689296
